ind_hhh,Industry
1,"agricultura, ganadería, caza y pesca"
2,industrias manufactureras
3,"electricidad, gas y agua"
4,construcción
5,"comercio, restaurantes y hoteles"
6,"transporte, almacen. y comunicaciones"
7,"finanzas, seguros, inmuebles"
8,"servicios comunales, sociales y person"
99,nr
