ind_hhh,Industry
1,Agriculture and Livestock
2,Manufacturing
3,Electricity and Water
4,Construction
5,Commerce
6,Hotels and Restaurants
7,Transport and Communication
8,Financial Intermediaries
9,Public administration and defense
10,Education
11,Health and Social Assistance
12,Other services
99,None
