language,Language
1,K'iche'
2,Q'eqchi'
3,Kaqchiquel
4,Mam
5,Q'anjob'al
6,Achi
7,Ixil
8,Itza'
9,Poqomchi'
10,Chuj
11,Awateko
12,Pokoman
13,Ch'orti
14,Jakalteko (popti)
15,Sakapulteko
16,Mopan
17,Uspanteko
18,Tz'utujil
19,Tektikeko
20,Sipakapense
21,Chalchiteko
22,Akateko
23,Xinka
24,Garifuna
25,Español
98,Otro idioma
