toilet,Toilet
1,Inodoro a alcantarillado
2,Inodoro a fosa s̩ptica
3,Inodoro com̼n a alcantarillado
4,Inodoro com̼n a fosa s̩ptica
5,Letrina privada
6,Letrina com̼n
7,Letrina abonera privada
8,Letrina abonera com̼n
9,Letrina solar privada
10,Letrina solar com̼n
