edu_hhh,Education
01,No schooling
02,Preschool
03,Incomplete Primary
04,Primary
05,Incomplete Secondary
06,Secondary
07,Incomplete High School
08,High School
09,Incomplete Professional
10,Professional
11,Postgraduate
