edu_hhh,Education
0,There was no examination back then
1,None
2,Common entrance
3,School Leaving Certificate
4,CXC Basic
5,CXC General / 'O' level
6,City and Guilds
7,GCE ‘A’/CAPE
8,Diploma or Equivalent Certificate of Achievement
9,Associate Degree/ Higher Diploma
10,Bachelor Degree
11,Post Graduate Diploma/Professional Qualification
12,Masters Degree
13,PhD Degree
14,Other
