ethnicity,Ethnicity
1,K´iche´
2,Q´eqchi´
3,Kaqchiquel
4,Mam
5, Q´anjob´al
6,Achi
7,Ixil
9,Poqomchi´
10,Chuj
11,Awateko
12,Pokoman
13,Ch´orti
14,Jakalteko (popti)
16,Mopan
17,Uspanteko
18, Tz´utujil
21,Chalchiteko
22,Akateko
23,Xinka
24,Garifuna
29,Ladino
30,Extranjero
97,No Indica
99,Ignorado
