language.b,Language.B
1,K´iche´
2,Q´eqchi´
3,Kaqchiquel
4,Mam
5,Q´anjob´al
6,Achi
7,Ixil
8,Itza´
9,Poqomchi´
10,Chuj
11,Awakateko
12,Pokoman
13,Ch´orti
14,Jakalteko (popti)
15,Sakapulteko
16,Mopan
17,Uspanteko
18,Tz´utujil
19,Tektiteko
20,Sipakapense
21,Chalchiteko
22,Akateko
23,Xinka
24,Garifona
25,Español
26,Ingles
27,Otro idioma extranjero
50,Discapacidad
97,Aún no habla
99,Ignorado
