water,Water
1,Tubería dentro de la vivienda
2,Tubería fuera de la vivienda
3,Chorro publico
4,Pozo perforado
5,"Río, lago, manantial"
6,Camion cisterna
7,Agua de lluvia
98,"Otro, cual?"
