edu_hhh,Education, ISCED
1,Incomplete elementary (includes special education),0
2,Complete primary,1
3,Incomplete secondary,2
4,Complete secondary,3
5,Incomplete university superior,6
6,Complete university superior,7
7,No instruction,9
99,Ns / nr,9
