district,District
1A,Ciudad Autónoma de Buenos Aires
1B,Partidos del Gran Buenos Aires
2A,Córdoba y La Pampa
2B,Santa Fe y Entre Ríos
2C,Buenos Aires
3A,"Jujuy, Salta y Tucumán"
3B,"La Rioja, Catamarca y Santiago del Estero"
4A,Misiones y Corrientes
4B,Chaco y Formosa
5,"San Juan, Mendoza y San Luis"
6A,Neuquén y Río Negro
6B,"Chubut, Santa Cruz y Tierra del Fuego"
