ethnicity,Ethnicity
1,Quechua
2,Aaymara
3,Nativo o indigena de la amazonia
4,Negro/moreno/zambo/mulato/afroperuano
5,Blanco
6,Mestizo
7,Otro
8,No sabe/no responde
9,Otro pueblo indigena u originario
