cooking_fuel,Cooking.Fuel,CF
1,Energía eléctrica, Electricity
2,Gas por cañería, Gas
3,Supergás,LPG
4,Queroseno, Kerosene
5,Leña, Firewood
6,Ninguna, No Fuel
