village,DES_BARRIO_PARAJE
12020102006,Batey Renguelito
12020103016,Batey Como Quiera
12030101002,El Picapiedra
12030101003,Cumajón
12030101004,Piedra Linda
12030101006,La Sabanita
12030101007,Villa Progreso
12030101008,La Lechosa
12030101010,Villa Caoba (Los Mulos)
12030101017,El Jobo o Villa Paraíso
12030101018,Villa Hermosa
12030201002,Villa Real
12030201003,Cucama
13010101001,San Martín Il
13010101007,San Martín I
13010101011,Las Carmelitas
13010101012,Nibaje
13010101015,La Primavera
13010101018,Villa Francisca
13010101023,Ciudad Universitaria
13010101030,Juan Pablo Duarte
13010101046,Palmarito
13010103002,Barranca
13010105009,Río Seco
13010105019,Los Valerio
13010110001,Los Rieles
13010111006,El Caimito Adentro
13010114004,Las Totumas o Los Tocones
13010116006,Maguey
13010201001,Cutupú
13010204005,Jababa
13010302007,Los Ranchos
13010405002,El Mamey
13020101009,Los Pinos
13020101012,El Cercado
13020103005,Colonia Kennedy
13020201002,Tireo Al Medio o La Secadora
13020302002,El Tapión
13030101023,Rosa Mística
13030101034,Medina
13030104006,Los Pomos
13030204007,La Guama Arriba
13040101001,Centro del Pueblo
13040103002,Jima Arriba
14010101006,San José de Villa (Cumajón)
14010101010,Centro del Pueblo
14010101021,Los Maestros
14010101039,Las Quinientas
14010202002,El Aguacate de Vietnam
14010305001,Mata Bonita
14010401002,Samaná o Samaná Tres Cuerdas
14020102005,Abreu
14020204005,Puerto Rico A Pie
14030101007,El Play o San José
14030202001,El Alto (Villa Flores)
14040101003,Nueva York Chiquito
15010101010,San Pedro
15010101012,Guatapanal
15010103013,La Cruz de Palo Verde
15020103001,Loma de Castañuelas
15030101007,Venecia
15030103015,La Antona
15030401002,Cana Al Medio
15030403003,Cerro Gordo Arriba
15050101001,Pepillo Salcedo
15060101006,La Gallera
15060103002,Buen Hombre
16010101004,Verde
16010101014,Los Coquitos
16020101007,Las Palmas
16020202001,Colonia Villa Esperanza
17010101001,Centro del Pueblo
17010101002,30 de Mayo
17010101005,El Fundo
17010101006,Pueblo Nuevo
17010101009,Villa Majeca
17010101012,Santa Rosa
17010101013,Los Barrancones
17010106002,Peravia
17010110005,La Montería
17010201001,Matanzas Arriba
17010206003,Hato Fino
17010301002,El Millón
17010302003,Las Carreras
17010501003,Paya Abajo
17010503001,Mata Gorda
17010601015,Mamá Gina
17010701001,Carretón
17011002009,Los Sitios de Juan Decena
17020101002,Centro del Pueblo
17020201002,Brisas del Canal
17020202001,Gualey
17020301006,Lucas Díaz
18010101001,Los Domínguez
18010101005,Playa Oeste
18010101008,La Viara
18010101010,Centro Histórico de Puerto Plata
18010101012,La Regola o Ensanche Eduardo Brito
18010101015,Colinas del Sur (El Avispero)
18010101020,Ensanche Luperón
18010101029,Padre Granero
18010101030,Urbanización Torre Alta
18010105009,Tubagua
18010301002,Don Gregorio
18010302003,Cafemba
18020204001,Los Chijos
18040101004,Pangola
18040105004,Los Trejos
18050101001,El Mamey
18050104005,La Boca de Unijica
18060302003,El Higo Claro
18070101001,Los Charamicos
18070103013,Loma Bajita
18070201001,Cabarete
18070202001,Los Cacaos
18080102002,Guaconejal
18080301003,Paso Seco
18090101003,El Mango
18090104001,Cangrejo
19010101004,Vietnam
19010102012,Jayabo Afuera
19010202030,Los Guayuyos
19020101017,Los Cáceres
19020105002,Los Pomos
19030102001,Las Aromas
19030105009,El Tablón ADentro
20010101001,Willmore
20010103008,El Francés
20010201002,Arroyo Sabana
20010302001,La Pascuala
20010404003,Loma Atravesada
20020101005,Pueblo Abajo
20020106005,Catey Abajo
20030101002,La Playa
21010101001,Lavapié
21010101002,Pueblo Nuevo
21010101003,San Isidro
21010101006,Jeringa
21010101007,Las Flores
21010101008,Madre Vieja del Norte
21010101009,Madre Vieja del Sur
21010101011,Los Nova
21010101014,Canastica o Paraíso
21010101017,Moscú
21010101020,Los Molina
21010101024,La Guandulera
21010102005,Naranjo Dulce
21010103002,El Zumbón
21010103005,Los Cantines o Los Algarrobos
21010104013,Ingenio Nuevo
21010105009,Najayo
21010106006,Montaño
21010107005,Mata Naranjo
21010107014,La Cruz de Santiago
21010108008,El Cinco
21010204005,Boruga
21020101003,La Curva
21020102001,Juan Barón
21020103003,Sabana Palito
21030101002,Piedra Blanca
21030101004,Bella Vista
21030101006,Los Gringos
21030101008,Barcequillo
21030101009,San Antonio
21030101011,El Distrito
21030101012,Invicea
21030102002,Cabón
21030102005,Piedra Blanca Sur
21030203001,Villa María
21030203005,Quita Sueño Norte
21030204003,Monte Largo
21030204006,Teresandón
21040101002,Centro del Pueblo
21040101010,La Escuela
21040102003,La Toma Arriba
21040203004,Pueblo Nuevo
21050101004,Catarey
