province,DES_PROVINCIA
1,DISTRITO NACIONAL
2,AZUA
3,BAHORUCO
4,BARAHONA
5,DAJABON
6,DUARTE
7,ELIAS PIÑA
8,EL SEIBO
9,ESPAILLAT
10,INDEPENDENCIA
11,LA ALTAGRACIA
12,LA ROMANA
13,LA VEGA
14,MARIA TRINIDAD SANCHEZ
15,MONTE CRISTI
16,PEDERNALES
17,PERAVIA
18,PUERTO PLATA
19,SALCEDO
20,SAMANA
21,SAN CRISTOBAL
22,SAN JUAN
23,SAN PEDRO DE MACORIS
24,SANCHEZ RAMIREZ
25,SANTIAGO
26,SANTIAGO RODRIGUEZ
27,VALVERDE
28,MONSEÑOR NOUEL
29,MONTE PLATA
30,HATO MAYOR
31,SAN JOSE DE OCOA
32,SANTO DOMINGO
