water,Water,WTR
1,...un acueducto rural o comunal (ASADAS O CAAR)?, Basic
2,...un acueducto municipal?, Basic
3,...un acueducto del A y A?, Limited
4,...un acueducto de una empresa o cooperativa? , Limited
5,...un pozo?, Limited
6,..un río quebrada o naciente?, Limited
7,...otra fuente (lluvia camión citerna hidrante)?, Basic
