ind_hhh,Industry
1,Government and Public Administration
2,Science
3,Technicians and Professionals
4,Office Workers
5,Service Workers and Vendors
6,Agriculture and Fishing
7,Trades
8,Heavy Machine Assembly and Operation
9,Unskilled Labor
10,Other
-77,Unknown/None
-88,Unknown/None
