edu_hhh,Education
1,None
2,Just starting formal education
3,Special Education
4,Kindergarten
5,Kindergarten
6,Kindergarten
7,Primary Education
8,Primary Education
9,Secondary Education
10,Secondary Education
11,Bachelor's Equivalent
12,Bachelor's Equivalent
13,Master's Equivalent
14,Professional
15,Postgrad Equivalent
16,Master's
17,PhD
-88,Unknown
-99,Unknown
