language,Language
2,002. AYMARA
5,005. CANICHANA
6,006. CASTELLANO (español)
10,010. CHIMAN
12,012. GUARANI
14,014. GUARAYU
19,019. MAROPA
21,021. MOJEÑO TRINITARIO
24,024. MOVIMA
27,027. QUECHUA
29,029. TACANA
32,032. URUCHIPAYA
33,033. WEENHAYEK
41,041. ALEMÁN
42,042. ÁRABE
45,045. CHINO
54,054. INGLÉS
55,055. ITALIANO
58,058. PORTUGUÉS
62,062. SUECO
995,995. B. NO PUEDE HABLAR
996,996. A. NO HABLA AÚN
