ind_hhh
0
1101
1102
1103
1104
1105
1106
1107
1108
1109
1110
1111
1112
1113
1114
1115
1116
1117
1118
1119
1201
1202
1203
1204
1205
1206
1207
1209
1401
1402
1500
1999
2000
3001
3002
5000
6000
7001
7002
8001
8002
8009
9000
10010
10021
10022
10030
10091
10092
10093
10099
11000
12000
13001
13002
14001
14002
15011
15012
15020
16001
16002
17001
17002
18000
19010
19020
19030
20010
20020
20090
21000
22010
22020
23010
23091
23099
24001
24002
24003
25001
25002
26010
26020
26030
26041
27010
27090
28000
29001
29002
30010
30020
30030
30090
31000
32001
32002
32003
32009
33001
33002
35010
35021
36000
37000
38000
41000
42000
43000
45010
45020
45030
45040
48010
48020
48030
48041
48042
48050
48060
48071
48072
48073
48074
48075
48076
48077
48078
48079
48080
48090
48100
49010
49030
49040
50000
51000
52010
52020
53001
53002
55000
56011
56012
56020
58000
59000
60001
60002
61000
62000
63000
64000
65000
66001
66002
68000
69000
70000
71000
72000
73010
73020
74000
75000
77010
77020
78000
79000
80000
81011
81012
81020
82001
82002
82003
82009
84011
84012
84013
84014
84015
84016
84017
84020
85011
85012
85013
85014
85021
85029
86001
86002
86003
86004
86009
87000
88000
90000
91000
92000
93011
93012
93020
94010
94020
94091
94099
95010
95030
96010
96020
96030
96090
97000
99999
