edu_hhh,Education
0,Ninguno
1,Preescolar
2,Educación de adultos
3,Primaria
4,Secundaria
5,Técnico básico
6,Técnico medio
7,Formación docente
8,Técnico superior
9,Universitario
10,Maestría
11,Doctorado
12,Educación especial
98,N/S
99,Ignorado
