toilet,Toilet
1,Excusado o letrina sin tratar
2,Excusado o letrina con tratamiento
3,"Inodoro, conectado a tubería de aguas negras"
4,Inodoro conectado a sumidero o pozo séptico
5,"Inodoro, que descarga en río o quebrada"
6,No tiene
8,N/S
9,Ignorado
