water,Water
1,...un acueducto rural o comunal (ASADAS O CAAR)?
2,...un acueducto municipal?
3,...un acueducto del A y A?
4,...un acueducto de una empresa o cooperativa?
5,...un pozo?
6,"...un río, quebrada o naciente?"
7,"...otra fuente (lluvia, camión citerna, hidrante)?"
