district,District
09008,La Magdalena Contreras (Ciudad de México)
09010,Álvaro Obregón (Ciudad de México)
09011,Tláhuac (Ciudad de México)
09012,Tlalpan (Ciudad de México)
09013,Xochimilco (Ciudad de México)
09014,Benito Juárez (Ciudad de México)
09015,Cuauhtémoc (Ciudad de México)
09016,Miguel Hidalgo (Ciudad de México)
09017,Venustiano Carranza (Ciudad de México)
09009,Milpa Alta (Ciudad de México)
10005,Durango (Durango)
10007,Gómez Palacio (Durango)
10008,Guadalupe Victoria (Durango)
10012,Lerdo (Durango)
10032,Santiago Papasquiaro (Durango)
10038,Vicente Guerrero (Durango)
10004,Cuencamé (Durango)
10013,Mapimí (Durango)
10016,Nombre de Dios (Durango)
10018,El Oro (Durango)
10020,Pánuco de Coronado (Durango)
10022,Poanas (Durango)
10033,Súchil (Durango)
10035,Tepehuanes (Durango)
10039,Nuevo Ideal (Durango)
10024,Rodeo (Durango)
10001,Canatlán (Durango)
10003,Coneto de Comonfort (Durango)
10006,General Simón Bolívar (Durango)
10014,Mezquital (Durango)
10015,Nazas (Durango)
10021,Peñón Blanco (Durango)
10023,Pueblo Nuevo (Durango)
10027,San Juan de Guadalupe (Durango)
10028,San Juan del Río (Durango)
11007,Celaya (Guanajuato)
11017,Irapuato (Guanajuato)
11020,León (Guanajuato)
11027,Salamanca (Guanajuato)
11001,Abasolo (Guanajuato)
11002,Acámbaro (Guanajuato)
11003,San Miguel de Allende (Guanajuato)
11014,Dolores Hidalgo Cuna de la Independencia Nacional (Guanajuato)
11015,Guanajuato (Guanajuato)
11023,Pénjamo (Guanajuato)
11025,Purísima del Rincón (Guanajuato)
11031,San Francisco del Rincón (Guanajuato)
11033,San Luis de la Paz (Guanajuato)
11035,Santa Cruz de Juventino Rosas (Guanajuato)
11042,Valle de Santiago (Guanajuato)
11044,Villagrán (Guanajuato)
11004,Apaseo el Alto (Guanajuato)
11013,Doctor Mora (Guanajuato)
11039,Tarimoro (Guanajuato)
11009,Comonfort (Guanajuato)
11022,Ocampo (Guanajuato)
11028,Salvatierra (Guanajuato)
11030,San Felipe (Guanajuato)
11046,Yuriria (Guanajuato)
11005,Apaseo el Grande (Guanajuato)
11008,Manuel Doblado (Guanajuato)
11011,Cortazar (Guanajuato)
11016,Huanímaro (Guanajuato)
11019,Jerécuaro (Guanajuato)
11024,Pueblo Nuevo (Guanajuato)
11026,Romita (Guanajuato)
11029,San Diego de la Unión (Guanajuato)
11032,San José Iturbide (Guanajuato)
11036,Santiago Maravatío (Guanajuato)
11037,Silao de la Victoria (Guanajuato)
11041,Uriangato (Guanajuato)
11034,Santa Catarina (Guanajuato)
12001,Acapulco de Juárez (Guerrero)
12029,Chilpancingo de los Bravo (Guerrero)
12035,Iguala de la Independencia (Guerrero)
12011,Atoyac de Álvarez (Guerrero)
12012,Ayutla de los Libres (Guerrero)
12034,Huitzuco de los Figueroa (Guerrero)
12038,Zihuatanejo de Azueta (Guerrero)
12046,Ometepec (Guerrero)
12048,Petatlán (Guerrero)
12055,Taxco de Alarcón (Guerrero)
12061,Tixtla de Guerrero (Guerrero)
12066,Tlapa de Comonfort (Guerrero)
12021,Coyuca de Benítez (Guerrero)
12025,Cuautepec (Guerrero)
12030,Florencio Villarreal (Guerrero)
12039,Juan R. Escudero (Guerrero)
12051,Quechultenango (Guerrero)
12052,San Luis Acatlán (Guerrero)
12057,Técpan de Galeana (Guerrero)
12077,Marquelia (Guerrero)
12015,Buenavista de Cuéllar (Guerrero)
12018,Copala (Guerrero)
12027,Cutzamala de Pinzón (Guerrero)
12033,Huamuxtitlán (Guerrero)
12041,Malinaltepec (Guerrero)
12042,Mártir de Cuilapan (Guerrero)
12056,Tecoanapa (Guerrero)
12059,Tepecoacuilco de Trujano (Guerrero)
12071,Xochistlahuaca (Guerrero)
12007,Arcelia (Guerrero)
12010,Atlixtac (Guerrero)
12013,Azoyú (Guerrero)
12014,Benito Juárez (Guerrero)
12020,Copanatoyac (Guerrero)
12022,Coyuca de Catalán (Guerrero)
12028,Chilapa de Álvarez (Guerrero)
12036,Igualapa (Guerrero)
12040,Leonardo Bravo (Guerrero)
12044,Mochitlán (Guerrero)
12045,Olinalá (Guerrero)
12053,San Marcos (Guerrero)
12060,Tetipac (Guerrero)
12062,Tlacoachistlahuaca (Guerrero)
12064,Tlalchapa (Guerrero)
12072,Zapotitlán Tablas (Guerrero)
12073,Zirándaro (Guerrero)
12017,Cocula (Guerrero)
12024,Cualác (Guerrero)
12065,Tlalixtaquilla de Maldonado (Guerrero)
13048,Pachuca de Soto (Hidalgo)
13077,Tulancingo de Bravo (Hidalgo)
13003,Actopan (Hidalgo)
13016,Cuautepec de Hinojosa (Hidalgo)
13030,Ixmiquilpan (Hidalgo)
13050,Progreso de Obregón (Hidalgo)
13056,Santiago Tulantepec de Lugo Guerrero (Hidalgo)
13063,Tepeji del Río de Ocampo (Hidalgo)
13069,Tizayuca (Hidalgo)
13076,Tula de Allende (Hidalgo)
13081,Zacualtipán de Ángeles (Hidalgo)
13007,Almoloya (Hidalgo)
13010,Atitalaquia (Hidalgo)
13013,Atotonilco de Tula (Hidalgo)
13029,Huichapan (Hidalgo)
13041,Mixquiahuala de Juárez (Hidalgo)
13046,San Felipe Orizatlán (Hidalgo)
13051,Mineral de la Reforma (Hidalgo)
13059,Tecozautla (Hidalgo)
13067,Tezontepec de Aldama (Hidalgo)
13070,Tlahuelilpan (Hidalgo)
13073,Tlanchinol (Hidalgo)
13074,Tlaxcoapan (Hidalgo)
13082,Zapotlán de Juárez (Hidalgo)
13083,Zempoala (Hidalgo)
13001,Acatlán (Hidalgo)
13017,Chapantongo (Hidalgo)
13026,Huazalingo (Hidalgo)
13054,San Salvador (Hidalgo)
13055,Santiago de Anaya (Hidalgo)
13058,Tasquillo (Hidalgo)
13004,Agua Blanca de Iturbide (Hidalgo)
13011,Atlapexco (Hidalgo)
13014,Calnali (Hidalgo)
13015,Cardonal (Hidalgo)
13018,Chapulhuacán (Hidalgo)
13022,Epazoyucan (Hidalgo)
13025,Huautla (Hidalgo)
13027,Huehuetla (Hidalgo)
13028,Huejutla de Reyes (Hidalgo)
13036,San Agustín Metzquititlán (Hidalgo)
