ethnicity.2,Ethnicity.2
1,Rama
2,Garifuna
3,Mayagna / Sumu
4,Miskitu
5,Ulwa
6,Creole
7,Mestizo de la costa caribe
8,Xiu / Sutiava
9,Nahoa / Nicarao
10,Chorotega / Nathual / Mange
11,Cacapera / Matagalpa
12,Otro
98,N/S
99,Ignorado
