cooking_fuel,Cooking_Fuel, CF
1,Leña, Firewood
2,Gas butano o propano, LPG
3,Carbón, Charcoal
4,Gas kerosén, Kerosene
5,Eléctricidad, Electricity
6,Otro Cuál?, NA
7,No cocinan, NA
8,N/S, NA
9,Ignorado, NA
