toilet,Toilet,TLT
1,Inodoro a alcantarillado, Basic
2,Inodoro a fosa s̩ptica, Basic
3,Inodoro com̼n a alcantarillado, Basic
4,Inodoro com̼n a fosa s̩ptica, Basic
5,Letrina privada, Basic
6,Letrina com̼n, Limited
7,Letrina abonera privada, Basic
8,Letrina abonera com̼n, Basic
9,Letrina solar privada, Basic
10,Letrina solar com̼n, Basic
