District,district
Azuay,1
Bolivar,2
Cañar,3
Carchi,4
Chimborazo,5
Cotopaxi,6
El Oro,7
Esmeraldas,8
Galápagos,9
Guayas,10
Imbabura,11
Loja,12
Los Rios,13
Manabi,14
Morona Santiago,15
Napo,16
Orellana,17
Pastaza,18
Pichincha,19
Santa Elena,20
Santo Domingo de los Tsachilas,21
Sucumbios,22
Tungurahua,23
Zamora Chinchipe,24
