water,Water
1,essap (ex-corposana)
2,senasa o junta de saneamiento
3,pozo artesiano
4,pozo sin bomba
5,pozo con bomba
6,red arivado
7,red comunitaria
8,manantial o naciente
9,"tajamar, río o arroyo"
10,agua de lluvia
11,otro
99,nr
