water,Water,WTR
1,Aqueduct by pipe,Basic
2,Other source by pipe, Basic
3,Well with pump, Basic
4,Well without pump cistern jagüey or auger, Limited
5,Rain water, Limited
6,River stream source or spring, Limited
7,Public stack, Limited
8,Tank truck, Limited
9,Water carrier, Limited
10,Bottler or bagged water, Limited
