toilet,Toilet,TLT
1,Lavatroy connected to sewer, Basic
2,Toilet connected to septic tank, Limited
3,Toilet without connection, Limited
4,Latrine, No Service
5,Bajamar, No Service
6,No sanitary service, No Service
