cooking_fuel,Cooking_Fuel,CF
1,Natural gas,Gas
2,LPG (bottled gas),LPG
3,Electricity,Electricity
4,Wood/Charcoal, Firewood Charcoal
5,Kerosene, Kerosene
6,Solar, Electricity
7,Other, Unknown
