edu_hhh,Education,ISCED
0,There was no examination back then, 9
1,None, 0
2,Common entrance, 1
3,School Leaving Certificate, 1
4,CXC Basic,2
5,CXC General / 'O' level,3
6,City and Guilds,3
7,GCE €˜Aâ€™ CAPE, 3
8,Diploma or Equivalent Certificate of Achievement,6
9,Associate Degree/ Higher Diploma,6
10,Bachelor Degree,6
11,Post Graduate Diploma/Professional Qualification,7
12,Masters Degree,7
13,PhD Degree,8
14,Other,9
